PLACESCHECK M=1 N=26 p=7: bidegree (6,7), places deg 1..5 = [ 12, 42, 124, 603, 3312 ], [d, #X(F_p^d), predicted] = [ <1, 12, 12>, <2, 96, 96>, <3, 384, 384>, <4, 2508, 2508>, <5, 16572, 16572> ], CONSISTENT=true
PLACESCHECK M=1 N=28 p=3: bidegree (8,7), places deg 1..5 = [ 9, 3, 5, 12, 54 ], [d, #X(F_p^d), predicted] = [ <1, 9, 9>, <2, 15, 15>, <3, 24, 24>, <4, 63, 63>, <5, 279, 279> ], CONSISTENT=true
PLACESCHECK M=1 N=28 p=5: bidegree (8,7), places deg 1..5 = [ 15, 12, 49, 84, 540 ], [d, #X(F_p^d), predicted] = [ <1, 15, 15>, <2, 39, 39>, <3, 162, 162>, <4, 375, 375>, <5, 2715, 2715> ], CONSISTENT=true
PLACESCHECK M=1 N=30 p=7: bidegree (8,8), places deg 1..5 = [ 16, 20, 128, 606, 3168 ], [d, #X(F_p^d), predicted] = [ <1, 16, 16>, <2, 56, 56>, <3, 400, 400>, <4, 2480, 2480>, <5, 15856, 15856> ], CONSISTENT=true
PLACESCHECK M=1 N=32 p=3: bidegree (11,10), places deg 1..5 = [ 12, 4, 8, 9, 16 ], [d, #X(F_p^d), predicted] = [ <1, 12, 12>, <2, 20, 20>, <3, 36, 36>, <4, 56, 56>, <5, 92, 92> ], CONSISTENT=true
PLACESCHECK M=1 N=33 p=7: bidegree (12,12), places deg 1..5 = [ 20, 0, 40, 660, 3644 ], [d, #X(F_p^d), predicted] = [ <1, 20, 20>, <2, 20, 20>, <3, 140, 140>, <4, 2660, 2660>, <5, 18240, 18240> ], CONSISTENT=true
PLACESCHECK M=1 N=34 p=3: bidegree (12,11), places deg 1..5 = [ 16, 0, 0, 26, 32 ], [d, #X(F_p^d), predicted] = [ <1, 16, 16>, <2, 16, 16>, <3, 16, 16>, <4, 120, 120>, <5, 176, 176> ], CONSISTENT=true
PLACESCHECK M=1 N=38 p=3: bidegree (15,14), places deg 1..5 = [ 18, 0, 3, 0, 72 ], [d, #X(F_p^d), predicted] = [ <1, 18, 18>, <2, 18, 18>, <3, 27, 27>, <4, 18, 18>, <5, 378, 378> ], CONSISTENT=true
PLACESCHECK M=1 N=42 p=5: bidegree (16,15), places deg 1..5 = [ 12, 6, 8, 183, 648 ], [d, #X(F_p^d), predicted] = [ <1, 12, 12>, <2, 24, 24>, <3, 36, 36>, <4, 756, 756>, <5, 3252, 3252> ], CONSISTENT=true
PLACESCHECK M=2 N=18 p=5: bidegree (6,6), places deg 1..5 = [ 9, 3, 51, 153, 612 ], [d, #X(F_p^d), predicted] = [ <1, 9, 9>, <2, 15, 15>, <3, 162, 162>, <4, 627, 627>, <5, 3069, 3069> ], CONSISTENT=true
PLACESCHECK M=2 N=20 p=3: bidegree (8,8), places deg 1..5 = [ 8, 4, 0, 44, 48 ], [d, #X(F_p^d), predicted] = [ <1, 8, 8>, <2, 16, 16>, <3, 8, 8>, <4, 192, 192>, <5, 248, 248> ], CONSISTENT=true
PLACESCHECK M=2 N=20 p=7: bidegree (8,8), places deg 1..5 = [ 8, 20, 128, 708, 3216 ], [d, #X(F_p^d), predicted] = [ <1, 8, 8>, <2, 48, 48>, <3, 392, 392>, <4, 2880, 2880>, <5, 16088, 16088> ], CONSISTENT=true
PLACESCHECK M=2 N=22 p=3: bidegree (9,9), places deg 1..5 = [ 15, 0, 0, 0, 63 ], [d, #X(F_p^d), predicted] = [ <1, 15, 15>, <2, 15, 15>, <3, 15, 15>, <4, 15, 15>, <5, 330, 330> ], CONSISTENT=true
PLACESCHECK M=2 N=24 p=5: bidegree (9,9), places deg 1..5 = [ 12, 14, 16, 96, 672 ], [d, #X(F_p^d), predicted] = [ <1, 12, 12>, <2, 40, 40>, <3, 60, 60>, <4, 424, 424>, <5, 3372, 3372> ], CONSISTENT=true
PLACESCHECK_DONE all_consistent=true
